2019-11-17T20:41:49.000Z,b'#Cryptoknowmics #CKM #bitcoin #ethereum #cryptocurrency #IEO https://t.co/JddkjFi1xs',Cryptoknowmics CKM itcoin ethereum cryptocurrency IEO
2019-11-17T20:44:34.000Z,b'$dag / $btc \n\nThis chart reminds me A LOT of the $ftm chart when it was going for its ATH retest. I think we will c\xe2\x80\xa6 https://t.co/aO2GuleODI',dag tc n nThis chart reminds me A LOT of the ftm chart when it was going for its ATH retest I think we will c xe2 x80 xa6
2019-11-17T20:44:56.000Z,b'https://t.co/ibtLjq28CP\n\n#Airdrops #Bitcoin #Crypto #Freetokens #Blockchain #Exchange',Bitcoin Crypto Freetokens Blockchain Exchange
2019-11-17T20:45:00.000Z,"b'Bitcoin Revolution Meets Protestant Reformation, Crypto Drives Change? #bitcoin #reformation #millennials\\xe2\\x80\\xa6 https://t.co/qnJDXU2HUg'",Bitcoin Revolution Meets Protestant Reformation Crypto Drives Change itcoin reformation millennials xe2 x80 xa6
2019-11-17T20:45:01.000Z,"\"b\"\"$DIRV DirectView's Roger Ralston",DIRV DirectView s Roger Ralston
2019-11-17T20:45:13.000Z,b'This indexing crypto strategy will make you a millionaire. Explained with nice cars! https://t.co/4iFD5NRVGd\xe2\x80\xa6 https://t.co/BGTlqFwvmA',This indexing crypto strategy will make you a millionaire Explained with nice cars
2019-11-17T20:45:19.000Z,b'#crypto price changes last 4 hours\n\n\xf0\x9f\x9a\x80\n$PMA +50.31%\n$DENT +50.31%\n$BTT +25.26%\n\n\xf0\x9f\x8c\xa7\xef\xb8\x8f\n$GAME -15.93%\n$RDD -9.81%\n$RFR -9\xe2\x80\xa6 https://t.co/Zw24VlUkVr',crypto price changes last 4 hours n n xf0 x9f x9a x80 n PMA 50 31 n DENT 50 31 n BTT 25 26 n n xf0 x9f x8c xa7 xef x8 x8f n GAME 15 93 n RDD 9 81 n RFR 9 xe2 x80 xa6
2019-11-17T20:45:23.000Z,b'\xf0\x9f\x93\xb2\xf0\x9f\x93\xb2\xf0\x9f\x93\xb2\xf0\x9f\x93\xb2\xf0\x9f\x93\xb2\xf0\x9f\x93\xb2\xf0\x9f\x93\xb2\xf0\x9f\x93\xb2\xf0\x9f\x93\xb2\xf0\x9f\x93\xb2\n\xf0\x9f\x93\xb2\xf0\x9f\x93\xb2\xf0\x9f\x93\xb2\xf0\x9f\x93\xb2\xf0\x9f\x93\xb2\xf0\x9f\x93\xb2\xf0\x9f\x93\xb2\xf0\x9f\x93\xb2\xf0\x9f\x93\xb2\xf0\x9f\x93\xb2\n\xf0\x9f\x93\xb2\xf0\x9f\x93\xb2\xf0\x9f\x93\xb2\xf0\x9f\x93\xb2\xf0\x9f\x93\xb2\xf0\x9f\x93\xb2\xf0\x9f\x93\xb2\xf0\x9f\x93\xb2\xf0\x9f\x93\xb2\xf0\x9f\x93\xb2\n\xf0\x9f\x93\xb2\xf0\x9f\x93\xb2\xf0\x9f\x8c\x90\xf0\x9f\x8c\x90\xf0\x9f\x8c\x90\xf0\x9f\x8c\x90\xf0\x9f\x8c\x90\xf0\x9f\x8c\x90\xf0\x9f\x93\xb2\xf0\x9f\x93\xb2\n\xf0\x9f\x93\xb2\xf0\x9f\x93\xb2 \xf0\x9f\x92\xb0TronWallet\xf0\x9f\x92\xb0\xf0\x9f\x93\xb2\xf0\x9f\x93\xb2\n\xf0\x9f\x93\xb2\xf0\x9f\x93\xb2\xf0\x9f\x8c\x90\xf0\x9f\x8c\x90\xf0\x9f\x8c\x90\xf0\x9f\x8c\x90\xf0\x9f\x8c\x90\xf0\x9f\x8c\x90\xf0\x9f\x93\xb2\xf0\x9f\x93\xb2\n\xf0\x9f\x93\xb2\xf0\x9f\x93\xb2\xf0\x9f\x93\xb2\xf0\x9f\x93\xb2\xf0\x9f\x93\xb2\xf0\x9f\x93\xb2\xf0\x9f\x93\xb2\xf0\x9f\x93\xb2\xf0\x9f\x93\xb2\xf0\x9f\x93\xb2\n\xf0\x9f\x93\xb2\xf0\x9f\x93\xb2\xf0\x9f\x93\xb2\xf0\x9f\x93\xb2\xf0\x9f\x93\xb2\xf0\x9f\x93\xb2\xf0\x9f\x93\xb2\xf0\x9f\x93\xb2\xf0\x9f\x93\xb2\xf0\x9f\x93\xb2\n\xf0\x9f\x93\xb2\xf0\x9f\x93\xb2\xf0\x9f\x93\xb2\xf0\x9f\x93\xb2\xf0\x9f\x93\xb2\xf0\x9f\x93\xb2\xf0\x9f\x93\xb2\xf0\x9f\x93\xb2\xf0\x9f\x93\xb2\xf0\x9f\x93\xb2\n\n#TRON\xe2\x80\xa6 https://t.co/LOy8DClTzb',xf0 x9f x93 x2 xf0 x9f x93 x2 xf0 x9f x93 x2 xf0 x9f x93 x2 xf0 x9f x93 x2 xf0 x9f x93 x2 xf0 x9f x93 x2 xf0 x9f x93 x2 xf0 x9f x93 x2 xf0 x9f x93 x2 n xf0 x9f x93 x2 xf0 x9f x93 x2 xf0 x9f x93 x2 xf0 x9f x93 x2 xf0 x9f x93 x2 xf0 x9f x93 x2 xf0 x9f x93 x2 xf0 x9f x93 x2 xf0 x9f x93 x2 xf0 x9f x93 x2 n xf0 x9f x93 x2 xf0 x9f x93 x2 xf0 x9f x93 x2 xf0 x9f x93 x2 xf0 x9f x93 x2 xf0 x9f x93 x2 xf0 x9f x93 x2 xf0 x9f x93 x2 xf0 x9f x93 x2 xf0 x9f x93 x2 n xf0 x9f x93 x2 xf0 x9f x93 x2 xf0 x9f x8c x90 xf0 x9f x8c x90 xf0 x9f x8c x90 xf0 x9f x8c x90 xf0 x9f x8c x90 xf0 x9f x8c x90 xf0 x9f x93 x2 xf0 x9f x93 x2 n xf0 x9f x93 x2 xf0 x9f x93 x2 xf0 x9f x92 x0TronWallet xf0 x9f x92 x0 xf0 x9f x93 x2 xf0 x9f x93 x2 n xf0 x9f x93 x2 xf0 x9f x93 x2 xf0 x9f x8c x90 xf0 x9f x8c x90 xf0 x9f x8c x90 xf0 x9f x8c x90 xf0 x9f x8c x90 xf0 x9f x8c x90 xf0 x9f x93 x2 xf0 x9f x93 x2 n xf0 x9f x93 x2 xf0 x9f x93 x2 xf0 x9f x93 x2 xf0 x9f x93 x2 xf0 x9f x93 x2 xf0 x9f x93 x2 xf0 x9f x93 x2 xf0 x9f x93 x2 xf0 x9f x93 x2 xf0 x9f x93 x2 n xf0 x9f x93 x2 xf0 x9f x93 x2 xf0 x9f x93 x2 xf0 x9f x93 x2 xf0 x9f x93 x2 xf0 x9f x93 x2 xf0 x9f x93 x2 xf0 x9f x93 x2 xf0 x9f x93 x2 xf0 x9f x93 x2 n xf0 x9f x93 x2 xf0 x9f x93 x2 xf0 x9f x93 x2 xf0 x9f x93 x2 xf0 x9f x93 x2 xf0 x9f x93 x2 xf0 x9f x93 x2 xf0 x9f x93 x2 xf0 x9f x93 x2 xf0 x9f x93 x2 n n TRON xe2 x80 xa6
2019-11-17T20:45:37.000Z,"b'Price Analysis 15/11: BTC, ETH, XRP, BCH, LTC, EOS, BNB, BSV, XLM, TRX #urbitcoinwear #bitcoin #news\\nhttps://t.co/3cHMY0amCw'",Price Analysis 15 11 BTC ETH XRP BCH LTC EOS BNB BSV XLM TRX uritcoinwear itcoin news
2019-11-17T20:45:40.000Z,"b'$BTC $BTCUSD #BITCOIN - 1H: All elements being clearly bullish, it would be possible for traders to trade only long\\xe2\\x80\\xa6 https://t.co/nt9QfWRpaV'",BTC BTCUSD BITCOIN 1H All elements eing clearly ullish it would e possile for traders to trade only long xe2 x80 xa6
2019-11-17T20:45:49.000Z,b'Nuovo post su Bitcoin News: #EU ##Blockchain #Partnership: #Riunito in #Spagna #Il #Gruppo #Policy [\xe2\x80\xa6 https://t.co/a9lq1VLmsZ',Nuovo post su Bitcoin News EU Blockchain Partnership Riunito in Spagna Il Gruppo Policy xe2 x80 xa6
2019-11-17T20:46:01.000Z,"\"b'Just released the prints of my mural fresco \"\"Liberty leading the people 2019\"\". Limited edition of 30",Just released the prints of my mural fresco Lierty leading the people 2019 Limited edition of 30
2019-11-17T20:46:06.000Z,b'@CNBC @A1b1t1 He just waiting to buy #bitcoin with it \xf0\x9f\x98\x89',He just waiting to uy itcoin with it xf0 x9f x98 x89
2019-11-17T20:46:07.000Z,b'r/#bitcoin - talking crypto with Trump voters #Politics #Government #Political https://t.co/qy39pgJW23',r itcoin talking crypto with Trump voters Politics Government Political
2019-11-17T20:47:01.000Z,"b'$BTC $BTCUSD #BITCOIN - 1H: @Bitcoin All elements being clearly bullish, it would be possible for traders to trade\\xe2\\x80\\xa6 https://t.co/cB04iqJtGd'",BTC BTCUSD BITCOIN 1H All elements eing clearly ullish it would e possile for traders to trade xe2 x80 xa6
2019-11-17T20:47:07.000Z,"b'Bitcoin just got massively rejected off of $8,637! Smashed down to $8,540 within minutes. Watch out. When the volum\\xe2\\x80\\xa6 https://t.co/tYPhIgfwa5'",Bitcoin just got massively rejected off of 8 637 Smashed down to 8 540 within minutes Watch out When the volum xe2 x80 xa6
2019-11-17T20:47:14.000Z,b'#DACX #IEO #cryptocurrency #blockchain #bitcoin https://t.co/jmeehYzCXy',DACX IEO cryptocurrency lockchain itcoin
2019-11-17T20:47:16.000Z,b'Can you transfer tons of gold immediately? Why do you think they make paper money and not used gold as daily medium\xe2\x80\xa6 https://t.co/HfqrX0HC3I',Can you transfer tons of gold immediately Why do you think they make paper money and not used gold as daily medium xe2 x80 xa6
2019-11-17T20:47:18.000Z,b'#Alchemy will offer Individuals and enterprise developers the opportunity to play a critical role in the developmen\xe2\x80\xa6 https://t.co/yHHuC1ClNw',Alchemy will offer Individuals and enterprise developers the opportunity to play a critical role in the developmen xe2 x80 xa6
2019-11-17T20:47:20.000Z,b'@extstock @dcs_token Nice project #cryptocurrency #bitcoin',Nice project cryptocurrency itcoin
2019-11-17T20:47:22.000Z,b'#DACX #IEO #cryptocurrency #blockchain #bitcoin https://t.co/PC3HuPVqb4',DACX IEO cryptocurrency lockchain itcoin
2019-11-17T20:47:26.000Z,"b'#BlockFi: \\n- 6% interest on #bitcoin, #ethereum, #gusd, compounded, paid monthly\\n- 0 hacks\\n- 1 #free withdrawal per\\xe2\\x80\\xa6 https://t.co/4n2P6YA8aO'",BlockFi n 6 interest on itcoin ethereum gusd compounded paid monthly n 0 hacks n 1 free withdrawal per xe2 x80 xa6
2019-11-17T20:47:48.000Z,"\"b'GREAT feedback on our World Crypto Conference \"\"Unconference\"\": participants vote on the topics they want to discuss",GREAT feedack on our World Crypto Conference Unconference participants vote on the topics they want to discuss
