2019-11-17T16:26:10.000Z,b'@extstock @dcs_token #cryptocurrency #bitcoin',cryptocurrency itcoin
2019-11-17T16:29:32.000Z,b'Bloody Monday ahead?\n\n#bitcoin \n$btc\n#btc',Bloody Monday ahead n n itcoin n tc n tc
2019-11-17T16:29:34.000Z,b'#zilliqa #coinbase #binance #xrp #ripple #Crypto #Cryptocurrency #Bitcoin #BTC #Ethereum #ETH #EOS #Stellar\xe2\x80\xa6 https://t.co/pqeXpUwQPD',zilliqa coinase inance xrp ripple Crypto Cryptocurrency Bitcoin BTC Ethereum ETH EOS Stellar xe2 x80 xa6
2019-11-17T16:29:39.000Z,b'$ftm / $btc\n\nLooks like a low volume pullback back to 146sat support range before the next possible move up. \n\nT1:\xe2\x80\xa6 https://t.co/byPQROTNjA',ftm tc n nLooks like a low volume pullack ack to 146sat support range efore the next possile move up n nT1 xe2 x80 xa6
2019-11-17T16:29:41.000Z,"b'Overwatch Angel Challenge: desbloquea la m\\xc3\\xa1scara, las etiquetas y un \\xc3\\xadcono del Dr. Ziegler -\\xe2\\x80\\xa6 https://t.co/2ukdiyV6t8'",Overwatch Angel Challenge desloquea la m xc3 xa1scara las etiquetas y un xc3 xadcono del Dr Ziegler xe2 x80 xa6
2019-11-17T16:29:59.000Z,"b'@Litecoin__Lord Buy up every satoshi? Great! I will sell mine for $50 million/ 100,000,000 SATS!\\n\\nSeriously, if you\\xe2\\x80\\xa6 https://t.co/NzAQ7qwTbQ'",Buy up every satoshi Great I will sell mine for 50 million 100 000 000 SATS n nSeriously if you xe2 x80 xa6
2019-11-17T16:30:04.000Z,b'2019/11/18 01:30\n\nBTC 929472\xe5\x86\x86\nETH 20090.9\xe5\x86\x86\nETC 503.2\xe5\x86\x86\nBCH 29090.1\xe5\x86\x86\nXRP 28.7\xe5\x86\x86\nXEM 4.6\xe5\x86\x86\nLSK 85.6\xe5\x86\x86\nMONA 115.1\xe5\x86\x86\n\n#\xe4\xbb\xae\xe6\x83\xb3\xe9\x80\x9a\xe8\xb2\xa8\xe2\x80\xa6 https://t.co/BF4ZSvdyyY',2019 11 18 01 30 n nBTC 929472 xe5 x86 x86 nETH 20090 9 xe5 x86 x86 nETC 503 2 xe5 x86 x86 nBCH 29090 1 xe5 x86 x86 nXRP 28 7 xe5 x86 x86 nXEM 4 6 xe5 x86 x86 nLSK 85 6 xe5 x86 x86 nMONA 115 1 xe5 x86 x86 n n xe4 x xae xe6 x83 x3 xe9 x80 x9a xe8 x2 xa8 xe2 x80 xa6
2019-11-17T16:30:04.000Z,b'One Bitcoin now worth $8533.86@bitstamp. High $8589.100. Low $8375.000. Market Cap $154.060 Billion #bitcoin',One Bitcoin now worth 8533 86 High 8589 100 Low 8375 000 Market Cap 154 060 Billion itcoin
2019-11-17T16:30:04.000Z,b'One Bitcoin now worth $8552.457. Market Cap $154.395 Billion. Based on #coindesk BPI #bitcoin',One Bitcoin now worth 8552 457 Market Cap 154 395 Billion Based on coindesk BPI itcoin
2019-11-17T16:30:04.000Z,"b'Iran Central Bank Branch Set on Fire, Crypto Community Follows Events https://t.co/aGWkNGoOTl #Bitcoin\\xe2\\x80\\xa6 https://t.co/oOJc33W5Ew'",Iran Central Bank Branch Set on Fire Crypto Community Follows Events Bitcoin xe2 x80 xa6
2019-11-17T16:30:04.000Z,"b'[\\xe2\\x82\\xbf] #Bitcoin Daily $BTC [\\xe2\\x82\\xbf]\\n\\nKraken\\xe2\\x9d\\xaf\\nA:$8,536 L:$8,364 H:$8,585\\nBitstamp\\xe2\\x9d\\xaf\\nA:$8,543 L:$8,375 H:$8,589\\nBitfinex\\xe2\\x9d\\xaf\\nA:$8\\xe2\\x80\\xa6 https://t.co/JyDfiVsRNX'",xe2 x82 xf Bitcoin Daily BTC xe2 x82 xf n nKraken xe2 x9d xaf nA 8 536 L 8 364 H 8 585 nBitstamp xe2 x9d xaf nA 8 543 L 8 375 H 8 589 nBitfinex xe2 x9d xaf nA 8 xe2 x80 xa6
2019-11-17T16:30:06.000Z,"b'Top 5 #cryptocurrencies \\n Alert Time: 2019-11-17 19:30:06\\n#Bitcoin: $8,648.823\\n#Ethereum: $186.596\\n#XRP: $0.267\\xe2\\x80\\xa6 https://t.co/uyvjCxcp8u'",Top 5 cryptocurrencies n Alert Time 2019 11 17 19 30 06 n Bitcoin 8 648 823 n Ethereum 186 596 n XRP 0 267 xe2 x80 xa6
2019-11-17T16:30:08.000Z,"b'#BTC: \\xe2\\x82\\xba49.032,00\\n#ETH: \\xe2\\x82\\xba1.061,30\\n#LTC:  \\xe2\\x82\\xba340,83\\n#XRP: \\xe2\\x82\\xba1,52\\n\\n17.11.19 - 19:30\\n\\n#Bitcoin #Litecoin #Ethereum #Ripple\\xe2\\x80\\xa6 https://t.co/iOLGwjq99k'",BTC xe2 x82 xa49 032 00 n ETH xe2 x82 xa1 061 30 n LTC xe2 x82 xa340 83 n XRP xe2 x82 xa1 52 n n17 11 19 19 30 n n Bitcoin Litecoin Ethereum Ripple xe2 x80 xa6
2019-11-17T16:30:11.000Z,"b'Nov 17, 2019 16:29:00 UTC | 8,552.50$ | 7,738.90\\xe2\\x82\\xac | 6,626.00\\xc2\\xa3 | #Bitcoin #BTC $BTC #crypto #financial #news https://t.co/FHtOyPYA2T'",Nov 17 2019 16 29 00 UTC 8 552 50 7 738 90 xe2 x82 xac 6 626 00 xc2 xa3 Bitcoin BTC BTC crypto financial news
2019-11-17T16:30:11.000Z,b'How to run you #Bitcoin Core node over #Tor in 2 easy steps: 1- Download and install Tor Bundle\xe2\x80\xa6 https://t.co/JmTEq2LpHr',How to run you Bitcoin Core node over Tor in 2 easy steps 1 Download and install Tor Bundle xe2 x80 xa6
2019-11-17T16:30:12.000Z,b'Canadian Company Commissions 3 #Bitcoin #Mining Units to Restart Oil Well - https://t.co/KmrfWjOVrU #BitcoinMining\xe2\x80\xa6 https://t.co/l1X6WCXnsm',Canadian Company Commissions 3 Bitcoin Mining Units to Restart Oil Well BitcoinMining xe2 x80 xa6
2019-11-17T16:30:15.000Z,"b'Hello humans, as of Sun Nov 17 10:30:14 CST 2019, current #cryptocoin prices:\\n#bitcoin is $8650.4045\\n#dash is $68.7\\xe2\\x80\\xa6 https://t.co/m2SxCmaPNP'",Hello humans as of Sun Nov 17 10 30 14 CST 2019 current cryptocoin prices n itcoin is 8650 4045 n dash is 68 7 xe2 x80 xa6
2019-11-17T16:30:17.000Z,"b'Withdrawal limits in Venezuelan banks are 0.25$.. 0.5$ depending on branch O_o\\n\\nBe your own bank, buy #Bitcoin https://t.co/WCL8SAWuQ2'",Withdrawal limits in Venezuelan anks are 0 25 0 5 depending on ranch O o n nBe your own ank uy Bitcoin
2019-11-17T16:30:22.000Z,b'#crypto mkt cap winners last 2 hours\n\n$BTC $ETH $XRP $BCH $LTC $BSV $ADA $EOS \n#bitcoin #cryptocurrency https://t.co/dh25TYecsK',crypto mkt cap winners last 2 hours n n BTC ETH XRP BCH LTC BSV ADA EOS n itcoin cryptocurrency
2019-11-17T16:30:36.000Z,b'\xc2\xbfC\xc3\xb3mo ganar Bitcoin sin tener que minar? https://t.co/ziEb4WmAKb #Bitcoin #BTC #Emprendedores https://t.co/6RxNMtExAA',xc2 xfC xc3 x3mo ganar Bitcoin sin tener que minar Bitcoin BTC Emprendedores
2019-11-17T16:30:37.000Z,"b'El precio del Bitcoin: 7,739.74\\xe2\\x82\\xac #bitcoin #elpreciodelbtc #criptomonedas'",El precio del Bitcoin 7 739 74 xe2 x82 xac itcoin elpreciodeltc criptomonedas
2019-11-17T16:30:51.000Z,"b'$BTC #BITCOIN\\n\\nZoomed out version;\\n\\xe2\\x96\\xab\\xef\\xb8\\x8f Still in the golden pocket area here at $8,400 zone.\\n\\xe2\\x96\\xab\\xef\\xb8\\x8f Holding here would fl\\xe2\\x80\\xa6 https://t.co/bRAkU8k1qk'",BTC BITCOIN n nZoomed out version n xe2 x96 xa xef x8 x8f Still in the golden pocket area here at 8 400 zone n xe2 x96 xa xef x8 x8f Holding here would fl xe2 x80 xa6
2019-11-17T16:30:55.000Z,b'BrawlStars - Todo sobre Robo Rumble - https://t.co/gq6HXBUW3W #noticias #tecnologia #crypto #videojuegos #bitcoin https://t.co/uGc7hTXzdd',BrawlStars Todo sore Roo Rumle noticias tecnologia crypto videojuegos itcoin
2019-11-17T16:30:59.000Z,"b'Buy Bitcoin With PayPal! Also with CC, paysafecard, Skrill, OKPAY https://t.co/Qdq3dxXr95 #btc #bitcoin 11 https://t.co/UcR4dxhbQ2'",Buy Bitcoin With PayPal Also with CC paysafecard Skrill OKPAY tc itcoin 11
