2019-11-17T20:02:19.000Z,b'#criptomoedas #bitcoin\nhttps://t.co/FesztTXPnZ',criptomoedas itcoin
2019-11-17T20:04:17.000Z,b'BTC $8630.15 Down -$0.94 -0.01% in the last hour #bitcoin #bitsmart',BTC 8630 15 Down 0 94 0 01 in the last hour itcoin itsmart
2019-11-17T20:04:32.000Z,b'#Crypto #Bitcoin #News #cryptocurrencynews #crypto #Business #Finance \n#Tech #AuchFolgen https://t.co/inQHvMSdhW',Crypto Bitcoin News cryptocurrencynews crypto Business Finance n Tech AuchFolgen
2019-11-17T20:04:52.000Z,b'#Bitcoin - Walmart Canada i DLT Labs og\xc5\x82osi\xc5\x82y rozwi\xc4\x85zanie blockchain dla logistyki i p\xc5\x82atno\xc5\x9bci -\xe2\x80\xa6 https://t.co/HujBy7ym9T',Bitcoin Walmart Canada i DLT Las og xc5 x82osi xc5 x82y rozwi xc4 x85zanie lockchain dla logistyki i p xc5 x82atno xc5 x9ci xe2 x80 xa6
2019-11-17T20:04:56.000Z,b'#ff #followfriday #followback #giveaway #contest #win #competition #crypto #ico #bitcoin #funny #photography #pets\xe2\x80\xa6 https://t.co/NvfXc0MYZ4',ff followfriday followack giveaway contest win competition crypto ico itcoin funny photography pets xe2 x80 xa6
2019-11-17T20:05:16.000Z,b'#ff #followfriday #followback #giveaway #contest #win #competition #crypto #ico #bitcoin #funny #photography #pets\xe2\x80\xa6 https://t.co/QZvm84dhp0',ff followfriday followack giveaway contest win competition crypto ico itcoin funny photography pets xe2 x80 xa6
2019-11-17T20:05:44.000Z,b'Actualidad : Houbi Argentina planea expandirse a toda Latinoam\xc3\xa9rica en el mediano plazo https://t.co/RyqMpmcaMK #bitcoin',Actualidad Houi Argentina planea expandirse a toda Latinoam xc3 xa9rica en el mediano plazo itcoin
2019-11-17T20:05:54.000Z,b'Saw the reaction I wanted. Just bought more #Bitcoin. PUMP IT PLS https://t.co/Oexy8yGNgp',Saw the reaction I wanted Just ought more Bitcoin PUMP IT PLS
2019-11-17T20:06:11.000Z,b'#Bitcoin May Be Forming Long-Term Bottom as Bulls Fight Back https://t.co/TBwZHYNCzP',Bitcoin May Be Forming Long Term Bottom as Bulls Fight Back
2019-11-17T20:06:12.000Z,b'Value is always in the eyes of the beholder\n\n\xf0\x9f\x91\x89 https://t.co/tFKmxhEMCJ \xf0\x9f\x91\x80\n\nCrypto Derivatives with the Best Perpetua\xe2\x80\xa6 https://t.co/0uBWO4Ay1d',Value is always in the eyes of the eholder n n xf0 x9f x91 x89 xf0 x9f x91 x80 n nCrypto Derivatives with the Best Perpetua xe2 x80 xa6
2019-11-17T20:06:13.000Z,b'Finansal k\xc3\xb6leler yazs\xc4\xb1n\n#finansal\n#k\xc3\xb6le\n#ObsessedWithBAEKHYUN\n#bitcoin',Finansal k xc3 x6leler yazs xc4 x1n n finansal n k xc3 x6le n OsessedWithBAEKHYUN n itcoin
2019-11-17T20:06:28.000Z,b'Mornings of Bitcoin Millionaires #bitcoin via /r/Bitcoin https://t.co/AI1XauiFkM',Mornings of Bitcoin Millionaires itcoin via r Bitcoin
2019-11-17T20:06:33.000Z,b'Bored of the coins https://t.co/bPpLVdFASb #bitcoin #blockchain #fintech',Bored of the coins itcoin lockchain fintech
2019-11-17T20:06:35.000Z,b'Current Bitcoin (BTC) Price: $8575.42 USD   The Bitcoin (BTC) Price a year ago on 2018-11-16: $5548.23 USD\xe2\x80\xa6 https://t.co/xiVg0EvaYf',Current Bitcoin BTC Price 8575 42 USD The Bitcoin BTC Price a year ago on 2018 11 16 5548 23 USD xe2 x80 xa6
2019-11-17T20:06:36.000Z,"\"b'Matte\\xc3\\xbcs 12:7\\n\"\"Barmhartigheid wil ik.\"\"\\n\\nMatte\\xc3\\xbcs 12:7bis\\n\"\"En bitcoins!\"\"\\n\\n#humor #bitcoin'\"",Matte xc3 xcs 12 7 n Barmhartigheid wil ik n nMatte xc3 xcs 12 7is n En itcoins n n humor itcoin
2019-11-17T20:06:42.000Z,b'#\xc3\xbc\xc3\xa7\xc3\xbcnc\xc3\xbcd\xc3\xbcnyasava\xc5\x9f\xc4\xb1 yakla\xc5\x9f\xc4\xb1yor  3. #dunya #Sava\xc5\x9f\xc4\xb1 \n\n#EytOyununaGelmeTuerkiyem #ObsessedWithBAEKHYUN #pazartesi\xe2\x80\xa6 https://t.co/xrOqEJMJz1',xc3 xc xc3 xa7 xc3 xcnc xc3 xcd xc3 xcnyasava xc5 x9f xc4 x1 yakla xc5 x9f xc4 x1yor 3 dunya Sava xc5 x9f xc4 x1 n n EytOyununaGelmeTuerkiyem OsessedWithBAEKHYUN pazartesi xe2 x80 xa6
2019-11-17T20:06:51.000Z,b'I accumulate sats for breakfast like a good #bitcoin badger should',I accumulate sats for reakfast like a good itcoin adger should
2019-11-17T20:07:10.000Z,b'#bitcoin \nIs it gonna win stock share??',itcoin nIs it gonna win stock share
2019-11-17T20:07:30.000Z,b'Bored of the coins\n\nSomething strange is afoot in the world of cryptocurrencies. For the first time since Satoshi d\xe2\x80\xa6 https://t.co/Tw9pNSkyKx',Bored of the coins n nSomething strange is afoot in the world of cryptocurrencies For the first time since Satoshi d xe2 x80 xa6
2019-11-17T20:07:32.000Z,"\"b'\"\"The National Council of Commerce and Services of Venezuela (Consecomercio) issued a statement earlier this week ma\\xe2\\x80\\xa6 https://t.co/APBOnFTbVT'\"",The National Council of Commerce and Services of Venezuela Consecomercio issued a statement earlier this week ma xe2 x80 xa6
2019-11-17T20:07:32.000Z,"\"b'\"\"1 petro is the equivalent of 1",1 petro is the equivalent of 1
2019-11-17T20:07:41.000Z,"b'$BTC #bitcoin trying to break through $8,600 for the first time in more than 48 hours | ... for #Trump supporters .\\xe2\\x80\\xa6 https://t.co/2viVvDu7xB'",BTC itcoin trying to reak through 8 600 for the first time in more than 48 hours for Trump supporters xe2 x80 xa6
2019-11-17T20:07:46.000Z,"b'Coinbase is for the first time allowing general users to earn rewards by simply holding cryptocurrency, starting wi\\xe2\\x80\\xa6 https://t.co/IlNJIgIxtm'",Coinase is for the first time allowing general users to earn rewards y simply holding cryptocurrency starting wi xe2 x80 xa6
2019-11-17T20:07:51.000Z,b'Long-Term #Bitcoin Price Indicator Remains Long https://t.co/gk2LyLgS7S https://t.co/bLkR33Dj1Z',Long Term Bitcoin Price Indicator Remains Long
2019-11-17T20:07:51.000Z,"b'#bitcoin #bitcoins #bitcoinprice\\n\\xe2\\x80\\x9cWE ARE ON the EDGE OF BITCOIN GOLDEN AGE, BTC To REACH $50K IN BLINK OF AN EYE\\xe2\\x80\\x9d R\\xe2\\x80\\xa6 https://t.co/ItXO2gZLB3'",itcoin itcoins itcoinprice n xe2 x80 x9cWE ARE ON the EDGE OF BITCOIN GOLDEN AGE BTC To REACH 50K IN BLINK OF AN EYE xe2 x80 x9d R xe2 x80 xa6
2019-11-17T20:07:53.000Z,b'@trylolli  got em.. that\xe2\x80\x99s sick .. thanks #btc  #bitcoin #byebanks #buybitcoin https://t.co/0HGJrbBdQp',got em that xe2 x80 x99s sick thanks tc itcoin yeanks uyitcoin
2019-11-17T20:07:58.000Z,"b'Perhaps Google Will Kill Bitcoin, After All https://t.co/NRYImVIEd8 #bitcoin'",Perhaps Google Will Kill Bitcoin After All itcoin
2019-11-17T20:08:05.000Z,b'#Bitcoin \xf0\x9f\x93\x88 \n\n\xe2\x96\x93\xe2\x96\x93\xe2\x96\x93\xe2\x96\x93\xe2\x96\x93\xe2\x96\x93\xe2\x96\x93\xe2\x96\x91\xe2\x96\x91\xe2\x96\x91\xe2\x96\x91\xe2\x96\x91\xe2\x96\x91\xe2\x96\x91\xe2\x96\x91 44%\n\n price: $8564.545',Bitcoin xf0 x9f x93 x88 n n xe2 x96 x93 xe2 x96 x93 xe2 x96 x93 xe2 x96 x93 xe2 x96 x93 xe2 x96 x93 xe2 x96 x93 xe2 x96 x91 xe2 x96 x91 xe2 x96 x91 xe2 x96 x91 xe2 x96 x91 xe2 x96 x91 xe2 x96 x91 xe2 x96 x91 44 n n price 8564 545
2019-11-17T20:08:19.000Z,"b'@coinbase WTF DId you do to the homepage??? its fucked, wont load, constantly reloads because of newly added conten\\xe2\\x80\\xa6 https://t.co/TTnulrgeW8'",WTF DId you do to the homepage its fucked wont load constantly reloads ecause of newly added conten xe2 x80 xa6
2019-11-17T20:08:34.000Z,b'Which day trading indicator is best https://t.co/vYVZN2HG60 #forex #money #bitcoin https://t.co/DGa2ynHyKX\xe2\x80\xa6 https://t.co/qIdSO4A4ik',Which day trading indicator is est forex money itcoin
2019-11-17T20:08:53.000Z,"b'Take The Bank Slot Are you ready for the heist of a lifetime? Welcome to Take The Bank Online Slot Machine, a fast-\\xe2\\x80\\xa6 https://t.co/iA5pQRCqRy'",Take The Bank Slot Are you ready for the heist of a lifetime Welcome to Take The Bank Online Slot Machine a fast xe2 x80 xa6
