2019-11-17T16:39:27.000Z,b'#btc #bitcoin $btc https://t.co/ylqgF4yp6S',tc itcoin tc
2019-11-17T16:40:53.000Z,b'\xe3\x81\x93\xe3\x82\x8c\xe3\x81\x8b\xe3\x82\x89\xe3\x81\xae\xe6\x99\x82\xe4\xbb\xa3\xe3\x81\xaf\xe5\x89\xaf\xe5\x8f\x8e\xe5\x85\xa5\xe3\x81\x8c\xe7\xb5\xb6\xe5\xaf\xbe\xe3\x81\xab\xe5\xbf\x85\xe8\xa6\x81\xe3\x81\xab\xe3\x81\xaa\xe3\x82\x8a\xe3\x81\xbe\xe3\x81\x99\xe3\x80\x82\xe3\x81\x9d\xe3\x81\xae\xe4\xba\xba\xe3\x81\xab\xe5\x90\x88\xe3\x81\xa3\xe3\x81\x9f\xe5\x89\xaf\xe6\xa5\xad\xe3\x80\x81\xe3\x81\x8a\xe9\x87\x91\xe3\x81\xae\xe7\xa8\xbc\xe3\x81\x8e\xe6\x96\xb9\xe3\x82\x92\xe7\x84\xa1\xe6\x96\x99\xe3\x81\xa7\xe3\x81\x8a\xe6\x95\x99\xe3\x81\x88\xe3\x81\x97\xe3\x81\xbe\xe3\x81\x99\xe3\x80\x82\xe8\x88\x88\xe5\x91\xb3\xe3\x81\xae\xe3\x81\x82\xe3\x82\x8b\xe6\x96\xb9\xe3\x81\xaf\xe3\x83\x95\xe3\x82\xa9\xe3\x83\xad\xe3\x83\xbc\xe3\x83\xbbDM\xe3\x81\x8a\xe5\xbe\x85\xe3\x81\xa1\xe3\x81\x97\xe3\x81\xa6\xe3\x81\x8a\xe3\x82\x8a\xe3\x81\xbe\xe3\x81\x99\xe3\x80\x82#Bitcoin  #\xe5\x89\xaf\xe5\x8f\x8e\xe5\x85\xa5  #\xe5\x89\xaf\xe6\xa5\xad  #\xe3\x81\x8a\xe9\x87\x91  #\xe7\xa8\xbc\xe3\x81\x8e\xe3\x81\x9f\xe3\x81\x84  #\xe7\xa8\xbc\xe3\x81\x90',xe3 x81 x93 xe3 x82 x8c xe3 x81 x8 xe3 x82 x89 xe3 x81 xae xe6 x99 x82 xe4 x xa3 xe3 x81 xaf xe5 x89 xaf xe5 x8f x8e xe5 x85 xa5 xe3 x81 x8c xe7 x5 x6 xe5 xaf xe xe3 x81 xa xe5 xf x85 xe8 xa6 x81 xe3 x81 xa xe3 x81 xaa xe3 x82 x8a xe3 x81 xe xe3 x81 x99 xe3 x80 x82 xe3 x81 x9d xe3 x81 xae xe4 xa xa xe3 x81 xa xe5 x90 x88 xe3 x81 xa3 xe3 x81 x9f xe5 x89 xaf xe6 xa5 xad xe3 x80 x81 xe3 x81 x8a xe9 x87 x91 xe3 x81 xae xe7 xa8 xc xe3 x81 x8e xe6 x96 x9 xe3 x82 x92 xe7 x84 xa1 xe6 x96 x99 xe3 x81 xa7 xe3 x81 x8a xe6 x95 x99 xe3 x81 x88 xe3 x81 x97 xe3 x81 xe xe3 x81 x99 xe3 x80 x82 xe8 x88 x88 xe5 x91 x3 xe3 x81 xae xe3 x81 x82 xe3 x82 x8 xe6 x96 x9 xe3 x81 xaf xe3 x83 x95 xe3 x82 xa9 xe3 x83 xad xe3 x83 xc xe3 x83 xDM xe3 x81 x8a xe5 xe x85 xe3 x81 xa1 xe3 x81 x97 xe3 x81 xa6 xe3 x81 x8a xe3 x82 x8a xe3 x81 xe xe3 x81 x99 xe3 x80 x82 Bitcoin xe5 x89 xaf xe5 x8f x8e xe5 x85 xa5 xe5 x89 xaf xe6 xa5 xad xe3 x81 x8a xe9 x87 x91 xe7 xa8 xc xe3 x81 x8e xe3 x81 x9f xe3 x81 x84 xe7 xa8 xc xe3 x81 x90
2019-11-17T16:41:00.000Z,"\"b\"\"$DIRV DirectView's CEO &amp; Chairman announces new office opening https://t.co/tEqqZC9CMy  #wsj #nytimes #reuters\\xe2\\x80\\xa6 https://t.co/1SPT5EheKJ\"\"\"",DIRV DirectView s CEO amp Chairman announces new office opening wsj nytimes reuters xe2 x80 xa6
2019-11-17T16:41:01.000Z,b'An average of 3 #bitcoin ATMs were being installed per day in May 2017.',An average of 3 itcoin ATMs were eing installed per day in May 2017
2019-11-17T16:41:22.000Z,b'Craig Wright Claimed He Would Reveal a Critical Bug in #Bitcoin and #Litecoin \xe2\x80\x94 Then Didn\xe2\x80\x99t\n\nhttps://t.co/YOevKoahc8',Craig Wright Claimed He Would Reveal a Critical Bug in Bitcoin and Litecoin xe2 x80 x94 Then Didn xe2 x80 x99t n
2019-11-17T16:41:27.000Z,"b'New Exchange Launch, New Coin ... - https://t.co/hQbgQJ6FCx #UIX #BestCryptoNews #BestCryptoYoutubers\\xe2\\x80\\xa6 https://t.co/AH2vZbEdf3'",New Exchange Launch New Coin UIX BestCryptoNews BestCryptoYoutuers xe2 x80 xa6
2019-11-17T16:41:28.000Z,"b'New post (New Exchange Launch, New Coin ...) has been published on U ... - https://t.co/fIgKH0LSnQ #BestCryptoNews\\xe2\\x80\\xa6 https://t.co/wWjH9izCWL'",New post New Exchange Launch New Coin has een pulished on U BestCryptoNews xe2 x80 xa6
2019-11-17T16:41:29.000Z,b'1 #satoshi =        0.00612 $INR \xf0\x9f\x87\xae\xf0\x9f\x87\xb3\n0.00980 $NPR \xf0\x9f\x87\xb3\xf0\x9f\x87\xb5   0.00545 $RUB \xf0\x9f\x87\xb7\xf0\x9f\x87\xba\n0.00723 $BDT \xf0\x9f\x87\xa7\xf0\x9f\x87\xa9   0.00009 $USD \xf0\x9f\x87\xba\xf0\x9f\x87\xb8\n0.03309\xe2\x80\xa6 https://t.co/dSVQCXH8fa',1 satoshi 0 00612 INR xf0 x9f x87 xae xf0 x9f x87 x3 n0 00980 NPR xf0 x9f x87 x3 xf0 x9f x87 x5 0 00545 RUB xf0 x9f x87 x7 xf0 x9f x87 xa n0 00723 BDT xf0 x9f x87 xa7 xf0 x9f x87 xa9 0 00009 USD xf0 x9f x87 xa xf0 x9f x87 x8 n0 03309 xe2 x80 xa6
2019-11-17T16:41:45.000Z,b'Responsive website\n#Bangladesh #OBSESSION\n #ObsessedWithSEHUN #case04 #web #psd #yrkkh #YCMN_StreamingParty #UAE\xe2\x80\xa6 https://t.co/eMWbVBV1sC',Responsive wesite n Bangladesh OBSESSION n OsessedWithSEHUN case04 we psd yrkkh YCMN StreamingParty UAE xe2 x80 xa6
2019-11-17T16:41:59.000Z,b'BTC\xec\x99\x80 \xec\x99\xb8\xed\x99\x98 \xeb\xb8\x8c\xeb\xa1\x9c\xec\xbb\xa4. / \xeb\x8f\x85\xed\x8a\xb9\xed\x95\x9c \xeb\xb9\x84\xed\x8a\xb8 \xec\xbd\x94\xec\x9d\xb8 \xea\xb3\x84\xec\xa0\x95 (BTC) / \xec\x9d\xb5\xeb\xaa\x85\n\xec\x97\x90\xeb\x8a\x94 \xeb\xb3\xb8\xec\x9d\xb8 \xed\x99\x95\xec\x9d\xb8\xec\x9d\xb4 \xed\x95\x84\xec\x9a\x94\xed\x95\x98\xec\xa7\x80 \xec\x95\x8a\xec\x8a\xb5\xeb\x8b\x88\xeb\x8b\xa4 / https://t.co/9VwLVhZhUP #FX #Bitcoin #MT4',BTC xec x99 x80 xec x99 x8 xed x99 x98 xe x8 x8c xe xa1 x9c xec x xa4 xe x8f x85 xed x8a x9 xed x95 x9c xe x9 x84 xed x8a x8 xec xd x94 xec x9d x8 xea x3 x84 xec xa0 x95 BTC xec x9d x5 xe xaa x85 n xec x97 x90 xe x8a x94 xe x3 x8 xec x9d x8 xed x99 x95 xec x9d x8 xec x9d x4 xed x95 x84 xec x9a x94 xed x95 x98 xec xa7 x80 xec x95 x8a xec x8a x5 xe x8 x88 xe x8 xa4 FX Bitcoin MT4
2019-11-17T16:42:02.000Z,b'Businesses are better off to receive #equity rather than egregious #loans. https://t.co/pxoYrki46p #ad #wsj\xe2\x80\xa6 https://t.co/gEMZkTXOD5',Businesses are etter off to receive equity rather than egregious loans ad wsj xe2 x80 xa6
2019-11-17T16:42:02.000Z,"b'Bitcoin is so much more than digital cash. So much more than a cryptocurrency. Bitcoin is freedom, rebellion and in\\xe2\\x80\\xa6 https://t.co/WNcAC1JOmH'",Bitcoin is so much more than digital cash So much more than a cryptocurrency Bitcoin is freedom reellion and in xe2 x80 xa6
2019-11-17T16:42:15.000Z,b'Wordpress website\n#Bangladesh #OBSESSION\n #ObsessedWithSEHUN #case04 #web #psd #yrkkh #YCMN_StreamingParty #UAE\xe2\x80\xa6 https://t.co/3KmEg2bl8q',Wordpress wesite n Bangladesh OBSESSION n OsessedWithSEHUN case04 we psd yrkkh YCMN StreamingParty UAE xe2 x80 xa6
2019-11-17T16:42:25.000Z,"b'#Bitcoin Binance 4h BTCUSDT:8542.66 RSI(46.18) StochRSI(100.00,75.85) macd(-52.36,-68.56) sma21:8530.28 sma50:8684.\\xe2\\x80\\xa6 https://t.co/ixqe1LO1ug'",Bitcoin Binance 4h BTCUSDT 8542 66 RSI 46 18 StochRSI 100 00 75 85 macd 52 36 68 56 sma21 8530 28 sma50 8684 xe2 x80 xa6
2019-11-17T16:42:44.000Z,"b'$qnt / $btc\\n\\nI posted the below chart when $qnt was 80,000sat. I said we will retest 70,000sat. That target was hit\\xe2\\x80\\xa6 https://t.co/938FhLyTkg'",qnt tc n nI posted the elow chart when qnt was 80 000sat I said we will retest 70 000sat That target was hit xe2 x80 xa6
2019-11-17T16:42:45.000Z,b'If we stick around at $10K.\n\n#Bitcoin $BTC https://t.co/0Gl4sZBppN',If we stick around at 10K n n Bitcoin BTC
2019-11-17T16:43:01.000Z,b'$OWPC One World Pharma to Launch Cannabis Futures Commoditization Program https://t.co/My46ELWkZc \n#ad #wsj\xe2\x80\xa6 https://t.co/vClQtGpmRG',OWPC One World Pharma to Launch Cannais Futures Commoditization Program n ad wsj xe2 x80 xa6
2019-11-17T16:43:02.000Z,b'@Cointelegraph Can you imagine a $12.5MM #bitcoin? \xf0\x9f\x98\xb3',Can you imagine a 12 5MM itcoin xf0 x9f x98 x3
2019-11-17T16:43:05.000Z,b'The new #shapeshift makes exchanging #bitcoin and other #cryptocurrency easy for virtually anyone--all secured with\xe2\x80\xa6 https://t.co/vf2BiT0fCO',The new shapeshift makes exchanging itcoin and other cryptocurrency easy for virtually anyone all secured with xe2 x80 xa6
2019-11-17T16:43:32.000Z,"b'At DACX, our mission is to incentivise people to share and earn from any opportunity they may find on-chain. #DACX\\xe2\\x80\\xa6 https://t.co/V8WH02wKGT'",At DACX our mission is to incentivise people to share and earn from any opportunity they may find on chain DACX xe2 x80 xa6
2019-11-17T16:43:48.000Z,b'5.c/ @lopp tested different #bitcoin implementation software (nodes) and compared their performance versus last yea\xe2\x80\xa6 https://t.co/tdTKJ0yRO9',5 c tested different itcoin implementation software nodes and compared their performance versus last yea xe2 x80 xa6
2019-11-17T16:44:05.000Z,b'Bug Fix\n#Bangladesh #OBSESSION\n#ObsessedWithSEHUN #case04 #web #psd #yrkkh #YCMN_StreamingParty #UAE #IranProtests\xe2\x80\xa6 https://t.co/hrtIYxBNMc',Bug Fix n Bangladesh OBSESSION n OsessedWithSEHUN case04 we psd yrkkh YCMN StreamingParty UAE IranProtests xe2 x80 xa6
2019-11-17T16:44:09.000Z,b'Bitcoin Forms Uptrend EMA Support as Case for Bulls Strengthens #Blockchain #bitcoin #btc via\xe2\x80\xa6 https://t.co/tHpzQ5HNCk',Bitcoin Forms Uptrend EMA Support as Case for Bulls Strengthens Blockchain itcoin tc via xe2 x80 xa6
2019-11-17T16:44:32.000Z,"b'O valor m\\xc3\\xa9dio das criptomoedas \\xc3\\xa9:\\n Bitcoin(BTC) R$ 35732,98 \\n Litecoin(LTC) R$ 245,99 \\n Bitcoin Cash(BCH) R$ 1114,4\\xe2\\x80\\xa6 https://t.co/fnJdyqJaVf'",O valor m xc3 xa9dio das criptomoedas xc3 xa9 n Bitcoin BTC R 35732 98 n Litecoin LTC R 245 99 n Bitcoin Cash BCH R 1114 4 xe2 x80 xa6
2019-11-17T16:45:06.000Z,"b'@cz_binance the CEO of Binance, a leading #cryptocurrency exchange, says institutional interest in #Bitcoin (#BTC)\\xe2\\x80\\xa6 https://t.co/mL059ij456'",the CEO of Binance a leading cryptocurrency exchange says institutional interest in Bitcoin BTC xe2 x80 xa6
2019-11-17T16:45:17.000Z,b'Free 300 GH Cloud Mining at Gominer Instant Witdraw https://t.co/llZqoxwtIe #gominer #hashflare #genesismining #bitcoin',Free 300 GH Cloud Mining at Gominer Instant Witdraw gominer hashflare genesismining itcoin
2019-11-17T16:45:19.000Z,b'#crypto price changes last 4 hours\n\n\xf0\x9f\x9a\x80\n$GAME +44.60%\n$FNB +16.50%\n$XDN +14.12%\n\n\xf0\x9f\x8c\xa7\xef\xb8\x8f\n$DENT -33.43%\n$BTT -20.11%\n$XHV -\xe2\x80\xa6 https://t.co/cBnamQmBjT',crypto price changes last 4 hours n n xf0 x9f x9a x80 n GAME 44 60 n FNB 16 50 n XDN 14 12 n n xf0 x9f x8c xa7 xef x8 x8f n DENT 33 43 n BTT 20 11 n XHV xe2 x80 xa6
2019-11-17T16:45:46.000Z,"b'one of my fav $RLC break all resistance with 150% gain within 30 days, V4 in Dec.\\n\\n@iEx_ec #Crypto #Bitcoin #alts https://t.co/CoqDkTU3O9'",one of my fav RLC reak all resistance with 150 gain within 30 days V4 in Dec n n Crypto Bitcoin alts
2019-11-17T16:46:34.000Z,b'#ethereum #eth #bitcoin #btc #cryptocurrency https://t.co/QNuvKv5PTY',ethereum eth itcoin tc cryptocurrency
2019-11-17T16:46:53.000Z,b'$DIRV In The Press https://t.co/NuzoHH1eTH  #bodycamera #Camera #security #Surveillance #ad #wsj #nytimes #reuters\xe2\x80\xa6 https://t.co/MAXdYz5BTF',DIRV In The Press odycamera Camera security Surveillance ad wsj nytimes reuters xe2 x80 xa6
2019-11-17T16:46:54.000Z,b'Do you think that Bitcoin is to expensive but you want to invest into Digital Assets?Consider #APOLLO which is more\xe2\x80\xa6 https://t.co/9vmMvcLHnS',Do you think that Bitcoin is to expensive ut you want to invest into Digital Assets Consider APOLLO which is more xe2 x80 xa6
