2019-11-17T12:00:01.000Z,"b'#HourlyCryptoStatus (#1 to #3):\\n\\n#1 #btc (#bitcoin): 8,534.35 USD | 0.5% 24h\\n\\n#2 #eth (#ethereum): 184.59 USD | 1.5\\xe2\\x80\\xa6 https://t.co/dXyrLmoKv7'",HourlyCryptoStatus 1 to 3 n n 1 tc itcoin 8 534 35 USD 0 5 24h n n 2 eth ethereum 184 59 USD 1 5 xe2 x80 xa6
2019-11-17T12:00:04.000Z,b'Bitcoin Traders Are Finding Creative Ways to Avoid KYC\n\nCryptocurrency traders on Bisq are using Revolut to buy and\xe2\x80\xa6 https://t.co/duo4ruFXtG',Bitcoin Traders Are Finding Creative Ways to Avoid KYC n nCryptocurrency traders on Bisq are using Revolut to uy and xe2 x80 xa6
2019-11-17T12:00:04.000Z,b'2019/11/17 21:00\n\nBTC 927798.5\xe5\x86\x86\nETH 20051.1\xe5\x86\x86\nETC 507.2\xe5\x86\x86\nBCH 28986.7\xe5\x86\x86\nXRP 28.7\xe5\x86\x86\nXEM 4.6\xe5\x86\x86\nLSK 85.9\xe5\x86\x86\nMONA 114.9\xe5\x86\x86\xe2\x80\xa6 https://t.co/PIqJe2oK80',2019 11 17 21 00 n nBTC 927798 5 xe5 x86 x86 nETH 20051 1 xe5 x86 x86 nETC 507 2 xe5 x86 x86 nBCH 28986 7 xe5 x86 x86 nXRP 28 7 xe5 x86 x86 nXEM 4 6 xe5 x86 x86 nLSK 85 9 xe5 x86 x86 nMONA 114 9 xe5 x86 x86 xe2 x80 xa6
2019-11-17T12:00:05.000Z,b'One Bitcoin now worth $8517.85@bitstamp. High $8589.100. Low $8375.000. Market Cap $153.760 Billion #bitcoin https://t.co/lrCetXhOv0',One Bitcoin now worth 8517 85 High 8589 100 Low 8375 000 Market Cap 153 760 Billion itcoin
2019-11-17T12:00:06.000Z,b'Will Bitcoin Ever Be Regulated?\xc2\xa0Have a read of the core issues that lay the foundation of the Bitcoin regulation de\xe2\x80\xa6 https://t.co/VuUVaw7D1P',Will Bitcoin Ever Be Regulated xc2 xa0Have a read of the core issues that lay the foundation of the Bitcoin regulation de xe2 x80 xa6
2019-11-17T12:00:06.000Z,"b'\\xe2\\x8f\\xb0 15:00\\n\\xe2\\x82\\xbf Bitcoin = 8.474,5763 $\\n#bitcoin #btc #BTCUSD'",xe2 x8f x0 15 00 n xe2 x82 xf Bitcoin 8 474 5763 n itcoin tc BTCUSD
2019-11-17T12:00:06.000Z,b'One Bitcoin now worth $8536.677. Market Cap $154.108 Billion. Based on #coindesk BPI #bitcoin',One Bitcoin now worth 8536 677 Market Cap 154 108 Billion Based on coindesk BPI itcoin
2019-11-17T12:00:07.000Z,"b'The price of $BTC #BTC #Bitcoin this hour is : $8,535 https://t.co/DXUd2xT8IZ'",The price of BTC BTC Bitcoin this hour is 8 535
2019-11-17T12:00:07.000Z,"b'#BTC: \\xe2\\x82\\xba49.040,00\\n#ETH: \\xe2\\x82\\xba1.061,10\\n#LTC:  \\xe2\\x82\\xba342,31\\n#XRP: \\xe2\\x82\\xba1,52\\n\\n17.11.19 - 15:00\\n\\n#Bitcoin #Litecoin #Ethereum #Ripple\\xe2\\x80\\xa6 https://t.co/ogDDlIWw1g'",BTC xe2 x82 xa49 040 00 n ETH xe2 x82 xa1 061 10 n LTC xe2 x82 xa342 31 n XRP xe2 x82 xa1 52 n n17 11 19 15 00 n n Bitcoin Litecoin Ethereum Ripple xe2 x80 xa6
2019-11-17T12:00:07.000Z,b'TOP-12 most-mentioned #crypto this hour:\n1. #bitcoin\n2. #ethereum\n3. #tron\n4. #xrp\n5. #ardor\n6. #litecoin\n7. #nem\n8\xe2\x80\xa6 https://t.co/yeuFivzu31',TOP 12 most mentioned crypto this hour n1 itcoin n2 ethereum n3 tron n4 xrp n5 ardor n6 litecoin n7 nem n8 xe2 x80 xa6
2019-11-17T12:00:09.000Z,"b'Nov 17, 2019 11:59:00 UTC | 8,536.70$ | 7,724.60\\xe2\\x82\\xac | 6,613.70\\xc2\\xa3 | #Bitcoin #BTC $BTC #crypto #financial #news https://t.co/rUXu9tSjrF'",Nov 17 2019 11 59 00 UTC 8 536 70 7 724 60 xe2 x82 xac 6 613 70 xc2 xa3 Bitcoin BTC BTC crypto financial news
2019-11-17T12:00:11.000Z,"b'\\xe2\\x8f\\xb0 15:00:11 #Piyasa #D\\xc3\\xb6viz\\n\\xe2\\x96\\xac USD: 5,7453 \\xe2\\x82\\xba\\n\\xe2\\x96\\xac EUR: 6,3498 \\xe2\\x82\\xba\\n\\xe2\\x96\\xac GBP: 7,4139 \\xe2\\x82\\xba\\n\\xe2\\x96\\xac EUR/USD: 1,1052 $\\n\\xe2\\x96\\xb2 Bitcoin: 8.557,1 $\\xe2\\x80\\xa6 https://t.co/0WrGB7umhL'",xe2 x8f x0 15 00 11 Piyasa D xc3 x6viz n xe2 x96 xac USD 5 7453 xe2 x82 xa n xe2 x96 xac EUR 6 3498 xe2 x82 xa n xe2 x96 xac GBP 7 4139 xe2 x82 xa n xe2 x96 xac EUR USD 1 1052 n xe2 x96 x2 Bitcoin 8 557 1 xe2 x80 xa6
2019-11-17T12:00:11.000Z,"b'Nov 17, 2019 04:00AM #Bitcoin Price:\\nUSD 8639.85 | EUR 7686.02 | JPY 923813.79'",Nov 17 2019 04 00AM Bitcoin Price nUSD 8639 85 EUR 7686 02 JPY 923813 79
2019-11-17T12:00:14.000Z,b'Debemos entender que PoW SIEMPRE ser\xc3\xa1 m\xc3\xa1s seguro y descentralizado que PoS. \n\nCon PoW yo participo en la mineria de\xe2\x80\xa6 https://t.co/4NrxpLGIMC',Deemos entender que PoW SIEMPRE ser xc3 xa1 m xc3 xa1s seguro y descentralizado que PoS n nCon PoW yo participo en la mineria de xe2 x80 xa6
2019-11-17T12:00:16.000Z,"b'Bitcoin inicia la jornada del d\\xc3\\xada 17/11/2019 con el precio de $8,526.54 USD, si deseas m\\xc3\\xa1s informaci\\xc3\\xb3n ingresa a\\xe2\\x80\\xa6 https://t.co/u91WaH2OKZ'",Bitcoin inicia la jornada del d xc3 xada 17 11 2019 con el precio de 8 526 54 USD si deseas m xc3 xa1s informaci xc3 x3n ingresa a xe2 x80 xa6
2019-11-17T12:00:17.000Z,b'\xe2\x80\x98Extremely Dangerous\xe2\x80\x99 \xe2\x80\x94 Bobby Lee Regrets Backing Bitcoin SegWit2x \xf0\x9f\x91\x89 #CoinTelegraph #CryptocoinFactory #Bitcoin https://t.co/VUi3asDMGO',xe2 x80 x98Extremely Dangerous xe2 x80 x99 xe2 x80 x94 Boy Lee Regrets Backing Bitcoin SegWit2x xf0 x9f x91 x89 CoinTelegraph CryptocoinFactory Bitcoin
2019-11-17T12:00:19.000Z,b'En esta plataforma TODOS ganamos Bitcoins. \xc3\x9anete a nuestro Grupo!!! \xe2\x9e\xa1\xef\xb8\x8f https://t.co/ybkkXMvr6N \xe2\x96\xb6\xef\xb8\x8f  #multinivel\xe2\x80\xa6 https://t.co/ZY2V2WUPz0',En esta plataforma TODOS ganamos Bitcoins xc3 x9anete a nuestro Grupo xe2 x9e xa1 xef x8 x8f xe2 x96 x6 xef x8 x8f multinivel xe2 x80 xa6
2019-11-17T12:00:20.000Z,b'@coindesk @extstock @ChairmanHeath @christine_dkim @ethereum Good projet \xc2\xa0#cryptocurrency\xc2\xa0#bitcoin',Good projet xc2 xa0 cryptocurrency xc2 xa0 itcoin
2019-11-17T12:00:30.000Z,b'BTC hourly update\n$8545.41    |    +0.0002%\xf0\x9f\x93\x88\n$BTC #BTCUSD #Bitcoin',BTC hourly update n 8545 41 0 0002 xf0 x9f x93 x88 n BTC BTCUSD Bitcoin
2019-11-17T12:00:36.000Z,b'#bitcoin Earn FREE bitcoin with this easy strategy \xe2\x96\xb6 https://t.co/K41USsQ7H8 https://t.co/wTu9Ocvbtk',itcoin Earn FREE itcoin with this easy strategy xe2 x96 x6
2019-11-17T12:00:39.000Z,b'Bitcoin Price: $8597.3634368 [USD]\n1hr - change: 0.01% \xf0\x9f\x93\x88\n1day - trend: 0.67% \xf0\x9f\x93\x88\n1week - trend: -3.3% \xf0\x9f\x93\x89\nRemaining Supply: 14.036%\n#bitcoin',Bitcoin Price 8597 3634368 USD n1hr change 0 01 xf0 x9f x93 x88 n1day trend 0 67 xf0 x9f x93 x88 n1week trend 3 3 xf0 x9f x93 x89 nRemaining Supply 14 036 n itcoin
2019-11-17T12:00:41.000Z,b'#Bitcoin \xf0\x9f\x93\x88 \n\n\xe2\x96\x93\xe2\x96\x93\xe2\x96\x93\xe2\x96\x93\xe2\x96\x93\xe2\x96\x93\xe2\x96\x93\xe2\x96\x91\xe2\x96\x91\xe2\x96\x91\xe2\x96\x91\xe2\x96\x91\xe2\x96\x91\xe2\x96\x91\xe2\x96\x91 44%\n\n price: $8524.185',Bitcoin xf0 x9f x93 x88 n n xe2 x96 x93 xe2 x96 x93 xe2 x96 x93 xe2 x96 x93 xe2 x96 x93 xe2 x96 x93 xe2 x96 x93 xe2 x96 x91 xe2 x96 x91 xe2 x96 x91 xe2 x96 x91 xe2 x96 x91 xe2 x96 x91 xe2 x96 x91 xe2 x96 x91 44 n n price 8524 185
2019-11-17T12:00:47.000Z,"\"b\"\"Investor's Kit for your daily investment needs #Bitcoin #ETH #ethereum #Ripple #cryptocurrency #News #Price\\xe2\\x80\\xa6 https://t.co/kwaIkjqWhO\"\"\"",Investor s Kit for your daily investment needs Bitcoin ETH ethereum Ripple cryptocurrency News Price xe2 x80 xa6
2019-11-17T12:00:48.000Z,b'#BTCUSD Market #1H timeframe on  November 17 at 11:00 (UTC)  is #Bullish.  #cryptocurrency #bitcoin  #btc #crypto\xe2\x80\xa6 https://t.co/yGVi7SXjUg',BTCUSD Market 1H timeframe on Novemer 17 at 11 00 UTC is Bullish cryptocurrency itcoin tc crypto xe2 x80 xa6
2019-11-17T12:00:51.000Z,b'Bitcoin under 10k is a buy #bitcoinlover #cryptolove #bitcoin https://t.co/qeQGlqG2Q0',Bitcoin under 10k is a uy itcoinlover cryptolove itcoin
2019-11-17T12:00:53.000Z,b'Apetyt na bitcoin s\xc5\x82abnie | Czy to ostatnia linia obrony?\nhttps://t.co/TimfD188Ag\n#bitcoin #btc #cryptocurrencynews #cryptocurrencymarket',Apetyt na itcoin s xc5 x82anie Czy to ostatnia linia orony nhttps tc cryptocurrencynews cryptocurrencymarket
2019-11-17T12:00:54.000Z,b'#bitcoin A very easy way to earn money. Do you want to get free bitcoin? Discover the magic \xe2\x96\xb6\xe2\x80\xa6 https://t.co/UpNuifoQ5F',itcoin A very easy way to earn money Do you want to get free itcoin Discover the magic xe2 x96 x6 xe2 x80 xa6
2019-11-17T12:00:55.000Z,"b'Top 5 #cryptocurrencies \\n Alert Time: 2019-11-17 15:00:55\\n#Bitcoin: $8,598.298\\n#Ethereum: $185.535\\n#XRP: $0.266\\xe2\\x80\\xa6 https://t.co/AtJPo2Pq7r'",Top 5 cryptocurrencies n Alert Time 2019 11 17 15 00 55 n Bitcoin 8 598 298 n Ethereum 185 535 n XRP 0 266 xe2 x80 xa6
2019-11-17T12:00:55.000Z,"b'#safex #gears up for #public #beta of its #safe, #secure, #decentralized #marketplace \\n#instablockchain\\xe2\\x80\\xa6 https://t.co/7zTCI4eCPB'",safex gears up for pulic eta of its safe secure decentralized marketplace n instalockchain xe2 x80 xa6
2019-11-17T12:00:56.000Z,b'Top 5 #crypto gainers \n Alert Time: 2019-11-17 15:00:56\n#Ubricoin: $0.001\n#BDTToken: $0.009\n#BitballTreasure: $14.2\xe2\x80\xa6 https://t.co/lio9EM9nT2',Top 5 crypto gainers n Alert Time 2019 11 17 15 00 56 n Uricoin 0 001 n BDTToken 0 009 n BitallTreasure 14 2 xe2 x80 xa6
2019-11-17T12:00:59.000Z,b'Suiza y la revoluci\xc3\xb3n de las criptomonedas #criptomonedas #guiabitcoin #bitcoin #blockchain -\xe2\x80\xa6 https://t.co/zJcVXU1uEw',Suiza y la revoluci xc3 x3n de las criptomonedas criptomonedas guiaitcoin itcoin lockchain xe2 x80 xa6
