2019-11-17T04:30:07.000Z,"b'Top 5 #cryptocurrencies \\n Alert Time: 2019-11-17 07:30:06\\n#Bitcoin: $8,540.622\\n#Ethereum: $182.802\\n#XRP: $0.264\\xe2\\x80\\xa6 https://t.co/yedVnyJAVO'",Top 5 cryptocurrencies n Alert Time 2019 11 17 07 30 06 n Bitcoin 8 540 622 n Ethereum 182 802 n XRP 0 264 xe2 x80 xa6
2019-11-17T04:31:05.000Z,"b'El precio del Bitcoin: 7,676.75\\xe2\\x82\\xac #bitcoin #elpreciodelbtc #criptomonedas'",El precio del Bitcoin 7 676 75 xe2 x82 xac itcoin elpreciodeltc criptomonedas
2019-11-17T04:31:19.000Z,"\"b\"\"Spartium is not an ICO",Spartium is not an ICO
2019-11-17T04:31:26.000Z,b'#EMJ #IEO #Crypto #Blockchain  #ethereum #bitcoin #ether  #cryptocurrency #tokensale https://t.co/OdYZaSFeaC https://t.co/P9miTDJibX',EMJ IEO Crypto Blockchain ethereum itcoin ether cryptocurrency tokensale
2019-11-17T04:31:26.000Z,"b'Beli #bitcoin? Ya, di\\n\\n\\xf0\\x9f\\x91\\x87\\xf0\\x9f\\x8f\\xbf\\xf0\\x9f\\x91\\x87\\xf0\\x9f\\x8f\\xbf\\xf0\\x9f\\x91\\x87\\xf0\\x9f\\x8f\\xbf\\xf0\\x9f\\x91\\x87\\xf0\\x9f\\x8f\\xbf\\xf0\\x9f\\x91\\x87\\xf0\\x9f\\x8f\\xbf\\xf0\\x9f\\x91\\x87\\xf0\\x9f\\x8f\\xbf\\xf0\\x9f\\x91\\x87\\xf0\\x9f\\x8f\\xbf\\xf0\\x9f\\x91\\x87\\xf0\\x9f\\x8f\\xbf\\xf0\\x9f\\x91\\x87\\xf0\\x9f\\x8f\\xbf\\xf0\\x9f\\x91\\x87\\xf0\\x9f\\x8f\\xbf\\xf0\\x9f\\x91\\x87\\xf0\\x9f\\x8f\\xbf\\n\\xf0\\x9f\\x91\\x89\\xf0\\x9f\\x8f\\xbf\\xf0\\x9f\\x91\\x87\\xf0\\x9f\\x8f\\xbe\\xf0\\x9f\\x91\\x87\\xf0\\x9f\\x8f\\xbe\\xf0\\x9f\\x91\\x87\\xf0\\x9f\\x8f\\xbe\\xf0\\x9f\\x91\\x87\\xf0\\x9f\\x8f\\xbe\\xf0\\x9f\\x91\\x87\\xf0\\x9f\\x8f\\xbe\\xf0\\x9f\\x91\\x87\\xf0\\x9f\\x8f\\xbe\\xf0\\x9f\\x91\\x87\\xf0\\x9f\\x8f\\xbe\\xf0\\x9f\\x91\\x87\\xf0\\x9f\\x8f\\xbe\\xf0\\x9f\\x91\\x87\\xf0\\x9f\\x8f\\xbe\\xf0\\x9f\\x91\\x88\\xf0\\x9f\\x8f\\xbf\\n\\xf0\\x9f\\x91\\x89\\xf0\\x9f\\x8f\\xbf\\xf0\\x9f\\x91\\x89\\xf0\\x9f\\x8f\\xbe\\xf0\\x9f\\x91\\x87\\xf0\\x9f\\x8f\\xbd\\xf0\\x9f\\x91\\x87\\xf0\\x9f\\x8f\\xbd\\xf0\\x9f\\x91\\x87\\xf0\\x9f\\x8f\\xbd\\xf0\\x9f\\x91\\x87\\xf0\\x9f\\x8f\\xbd\\xf0\\x9f\\x91\\x87\\xf0\\x9f\\x8f\\xbd\\xf0\\x9f\\x91\\x87\\xf0\\x9f\\x8f\\xbd\\xf0\\x9f\\x91\\x87\\xf0\\x9f\\x8f\\xbd\\xf0\\x9f\\x91\\x88\\xf0\\x9f\\x8f\\xbe\\xf0\\x9f\\x91\\x88\\xf0\\x9f\\x8f\\xbf\\n\\xf0\\x9f\\x91\\x89\\xf0\\x9f\\x8f\\xbf\\xf0\\x9f\\x91\\x89\\xf0\\x9f\\x8f\\xbe\\xf0\\x9f\\x91\\x89\\xf0\\x9f\\x8f\\xbd\\xf0\\x9f\\x91\\x87\\xf0\\x9f\\x8f\\xbc\\xf0\\x9f\\x91\\x87\\xf0\\x9f\\x8f\\xbc\\xf0\\x9f\\x91\\x87\\xf0\\x9f\\x8f\\xbc\\xf0\\x9f\\x91\\x87\\xf0\\x9f\\x8f\\xbc\\xf0\\x9f\\x91\\x87\\xf0\\x9f\\x8f\\xbc\\xf0\\x9f\\x91\\x88\\xf0\\x9f\\x8f\\xbd\\xf0\\x9f\\x91\\x88\\xf0\\x9f\\x8f\\xbe\\xf0\\x9f\\x91\\x88\\xf0\\x9f\\x8f\\xbf\\xe2\\x80\\xa6 https://t.co/26WRWIxeAQ'",Beli itcoin Ya di n n xf0 x9f x91 x87 xf0 x9f x8f xf xf0 x9f x91 x87 xf0 x9f x8f xf xf0 x9f x91 x87 xf0 x9f x8f xf xf0 x9f x91 x87 xf0 x9f x8f xf xf0 x9f x91 x87 xf0 x9f x8f xf xf0 x9f x91 x87 xf0 x9f x8f xf xf0 x9f x91 x87 xf0 x9f x8f xf xf0 x9f x91 x87 xf0 x9f x8f xf xf0 x9f x91 x87 xf0 x9f x8f xf xf0 x9f x91 x87 xf0 x9f x8f xf xf0 x9f x91 x87 xf0 x9f x8f xf n xf0 x9f x91 x89 xf0 x9f x8f xf xf0 x9f x91 x87 xf0 x9f x8f xe xf0 x9f x91 x87 xf0 x9f x8f xe xf0 x9f x91 x87 xf0 x9f x8f xe xf0 x9f x91 x87 xf0 x9f x8f xe xf0 x9f x91 x87 xf0 x9f x8f xe xf0 x9f x91 x87 xf0 x9f x8f xe xf0 x9f x91 x87 xf0 x9f x8f xe xf0 x9f x91 x87 xf0 x9f x8f xe xf0 x9f x91 x87 xf0 x9f x8f xe xf0 x9f x91 x88 xf0 x9f x8f xf n xf0 x9f x91 x89 xf0 x9f x8f xf xf0 x9f x91 x89 xf0 x9f x8f xe xf0 x9f x91 x87 xf0 x9f x8f xd xf0 x9f x91 x87 xf0 x9f x8f xd xf0 x9f x91 x87 xf0 x9f x8f xd xf0 x9f x91 x87 xf0 x9f x8f xd xf0 x9f x91 x87 xf0 x9f x8f xd xf0 x9f x91 x87 xf0 x9f x8f xd xf0 x9f x91 x87 xf0 x9f x8f xd xf0 x9f x91 x88 xf0 x9f x8f xe xf0 x9f x91 x88 xf0 x9f x8f xf n xf0 x9f x91 x89 xf0 x9f x8f xf xf0 x9f x91 x89 xf0 x9f x8f xe xf0 x9f x91 x89 xf0 x9f x8f xd xf0 x9f x91 x87 xf0 x9f x8f xc xf0 x9f x91 x87 xf0 x9f x8f xc xf0 x9f x91 x87 xf0 x9f x8f xc xf0 x9f x91 x87 xf0 x9f x8f xc xf0 x9f x91 x87 xf0 x9f x8f xc xf0 x9f x91 x88 xf0 x9f x8f xd xf0 x9f x91 x88 xf0 x9f x8f xe xf0 x9f x91 x88 xf0 x9f x8f xf xe2 x80 xa6
2019-11-17T04:31:45.000Z,"\"b\"\"Oh",Oh
2019-11-17T04:31:55.000Z,b'\xc2\xbfQu\xc3\xa9 pas\xc3\xb3 con el puerto para PC de Red Dead Redemption 2? - https://t.co/zBYmpkZLX5 #noticias #tecnologia #crypto\xe2\x80\xa6 https://t.co/2AZC2OJpNw',xc2 xfQu xc3 xa9 pas xc3 x3 con el puerto para PC de Red Dead Redemption 2 noticias tecnologia crypto xe2 x80 xa6
2019-11-17T04:31:56.000Z,b'\xe3\x81\x8a\xe5\x95\x8f\xe3\x81\x84\xe5\x90\x88\xe3\x82\x8f\xe3\x81\x9b\xe3\x83\xbb\xe3\x81\x94\xe7\x9b\xb8\xe8\xab\x87\xe3\x83\xbb\xe3\x81\x94\xe8\xa6\x81\xe6\x9c\x9b\xe3\x81\xaa\xe3\x81\xa9\xe3\x81\xaf\xe3\x80\x81https://t.co/ahTwKz0wRO\xe3\x81\xbe\xe3\x81\x9f\xe3\x81\xaf\xe3\x80\x81btctradep2p\xe2\x98\x85https://t.co/EENTJhYPpo\xe3\x81\xbe\xe3\x81\xa7\xe3\x80\x81\xe3\x81\xa9\xe3\x82\x93\xe3\x81\xaa\xe3\x81\x93\xe3\x81\xa8\xe3\x81\xa7\xe3\x82\x82\xe3\x81\x8a\xe6\xb0\x97\xe8\xbb\xbd\xe3\x81\xab\xe3\x81\xa9\xe3\x81\x86\xe3\x81\x9e\xe3\x80\x82(\xe3\x80\x8c\xe2\x98\x85\xe3\x80\x8d\xe3\x82\x92\xe3\x80\x8c@\xe3\x80\x8d\xe3\x81\xab\xe7\xbd\xae\xe3\x81\x8d\xe6\x8f\x9b\xe3\x81\x88\xe3\x81\xa6\xe3\x81\x8f\xe3\x81\xa0\xe3\x81\x95\xe3\x81\x84\xe3\x80\x82)\n\n#Bitcoin',xe3 x81 x8a xe5 x95 x8f xe3 x81 x84 xe5 x90 x88 xe3 x82 x8f xe3 x81 x9 xe3 x83 x xe3 x81 x94 xe7 x9 x8 xe8 xa x87 xe3 x83 x xe3 x81 x94 xe8 xa6 x81 xe6 x9c x9 xe3 x81 xaa xe3 x81 xa9 xe3 x81 xaf xe3 x80
2019-11-17T04:32:11.000Z,"b'Crypto Tidbits: RBC May Embrace #BTC #Bitcoin, #China Bashes #Cryptocurrency, #ETH #Ethereum DeFi Booming\\n\\nhttps://t.co/nXNy7pjueJ'",Crypto Tidits RBC May Emrace BTC Bitcoin China Bashes Cryptocurrency ETH Ethereum DeFi Booming n
2019-11-17T04:32:27.000Z,"b'Libra update: Testnet processes 51,000 transactions with 7 nodes https://t.co/FLfoPbQeBw https://t.co/0M21Sw0VHu\\xe2\\x80\\xa6 https://t.co/NcKa8EUO2z'",Lira update Testnet processes 51 000 transactions with 7 nodes
2019-11-17T04:32:29.000Z,b'Zoom out &amp; say bear market one more time\xf0\x9f\x98\x8f\n\n#Bitcoin https://t.co/jp3qiPwTz5',Zoom out amp say ear market one more time xf0 x9f x98 x8f n n Bitcoin
2019-11-17T04:32:43.000Z,b'$ 86 millones: El fundador de Blockchain Game Startup arrestado despu\xc3\xa9s de defraudar a los inversores -\xe2\x80\xa6 https://t.co/kvq6UwFA2V',86 millones El fundador de Blockchain Game Startup arrestado despu xc3 xa9s de defraudar a los inversores xe2 x80 xa6
2019-11-17T04:33:01.000Z,b'1bits\xe3\x81\xaebits\xe3\x81\xa3\xe3\x81\xa6\xe3\x80\x81\xe3\x83\x95\xe3\x83\xa9\xe3\x83\xb3\xe3\x82\xb9\xe8\xaa\x9e\xe3\x81\xa7\xe3\x81\x8a\xe2\x97\x8b\xe3\x82\x93\xe2\x97\x8b\xe3\x82\x93\xe3\x81\xa3\xe3\x81\xa6\xe6\x84\x8f\xe5\x91\xb3\xe3\x82\x89\xe3\x81\x97\xe3\x81\x8f\xe2\x80\xa6\xf0\x9f\x99\x88bits\xe3\x81\xa8\xe3\x81\x84\xe3\x81\x86\xe5\x8d\x98\xe4\xbd\x8d\xe3\x81\xaf\xe3\x83\x80\xe3\x83\xa1\xe3\x81\xa0!!\xe3\x81\xa3\xe3\x81\xa6\xe8\xad\xb0\xe8\xab\x96\xe3\x82\x82\xe3\x81\x82\xe3\x82\x8b\xe3\x82\x89\xe3\x81\x97\xe3\x81\x84\xe3\x80\x82\xe3\x81\xbb\xe3\x82\x93\xe3\x81\xa8\xe2\x80\xa6\xe3\x81\x84\xe3\x82\x8d\xe3\x82\x93\xe3\x81\xaa\xe8\xad\xb0\xe8\xab\x96\xe3\x81\x8c\xe3\x81\x82\xe3\x82\x8b\xe3\x81\x93\xe3\x81\xae\xe6\xa5\xad\xe7\x95\x8c\xe3\x81\xa7\xe3\x81\x82\xe3\x82\x8a\xe3\x81\xbe\xe3\x81\x99\xe3\x80\x82 \xef\xbc\x83Bitcoin \xef\xbc\x83\xe4\xbb\xae\xe6\x83\xb3\xe9\x80\x9a\xe8\xb2\xa8\n#\xe6\x9a\x97\xe5\x8f\xb7\xe9\x80\x9a\xe8\xb2\xa8 #MLM #\xe4\xbb\xae\xe6\x83\xb3\xe9\x80\x9a\xe8\xb2\xa8 #\xe3\x83\x93\xe3\x83\x83\xe3\x83\x88\xe3\x82\xb3\xe3\x82\xa4\xe3\x83\xb3 #ICO #\xe3\x82\xa2\xe3\x83\xab\xe3\x83\x88\xe3\x82\xb3\xe3\x82\xa4\xe3\x83\xb3',1its xe3 x81 xaeits xe3 x81 xa3 xe3 x81 xa6 xe3 x80 x81 xe3 x83 x95 xe3 x83 xa9 xe3 x83 x3 xe3 x82 x9 xe8 xaa x9e xe3 x81 xa7 xe3 x81 x8a xe2 x97 x8 xe3 x82 x93 xe2 x97 x8 xe3 x82 x93 xe3 x81 xa3 xe3 x81 xa6 xe6 x84 x8f xe5 x91 x3 xe3 x82 x89 xe3 x81 x97 xe3 x81 x8f xe2 x80 xa6 xf0 x9f x99 x88its xe3 x81 xa8 xe3 x81 x84 xe3 x81 x86 xe5 x8d x98 xe4 xd x8d xe3 x81 xaf xe3 x83 x80 xe3 x83 xa1 xe3 x81 xa0 xe3 x81 xa3 xe3 x81 xa6 xe8 xad x0 xe8 xa x96 xe3 x82 x82 xe3 x81 x82 xe3 x82 x8 xe3 x82 x89 xe3 x81 x97 xe3 x81 x84 xe3 x80 x82 xe3 x81 x xe3 x82 x93 xe3 x81 xa8 xe2 x80 xa6 xe3 x81 x84 xe3 x82 x8d xe3 x82 x93 xe3 x81 xaa xe8 xad x0 xe8 xa x96 xe3 x81 x8c xe3 x81 x82 xe3 x82 x8 xe3 x81 x93 xe3 x81 xae xe6 xa5 xad xe7 x95 x8c xe3 x81 xa7 xe3 x81 x82 xe3 x82 x8a xe3 x81 xe xe3 x81 x99 xe3 x80 x82 xef xc x83Bitcoin xef xc x83 xe4 x xae xe6 x83 x3 xe9 x80 x9a xe8 x2 xa8 n xe6 x9a x97 xe5 x8f x7 xe9 x80 x9a xe8 x2 xa8 MLM xe4 x xae xe6 x83 x3 xe9 x80 x9a xe8 x2 xa8 xe3 x83 x93 xe3 x83 x83 xe3 x83 x88 xe3 x82 x3 xe3 x82 xa4 xe3 x83 x3 ICO xe3 x82 xa2 xe3 x83 xa xe3 x83 x88 xe3 x82 x3 xe3 x82 xa4 xe3 x83 x3
2019-11-17T04:33:03.000Z,b'Samsung launched it #Blockchain ecosystem.\nSame technology used behind #Bitcoin. https://t.co/0RNS9enu3G',Samsung launched it Blockchain ecosystem nSame technology used ehind Bitcoin
2019-11-17T04:33:07.000Z,"b'When the whole #bitcoin $BCH fork happened in 2017, what did you do with it?'",When the whole itcoin BCH fork happened in 2017 what did you do with it
2019-11-17T04:33:24.000Z,"b'If you had bought 100 #EURO of #BITCOIN the 10-09-2013\\nToday, 2258.20 days later, You would have 7904.64 EURO and t\\xe2\\x80\\xa6 https://t.co/yu8TT3Y66f'",If you had ought 100 EURO of BITCOIN the 10 09 2013 nToday 2258 20 days later You would have 7904 64 EURO and t xe2 x80 xa6
2019-11-17T04:33:24.000Z,"b'FORGET #BITCOIN, #ALTCOINS are MOVING! With https://t.co/Quu5i39vrv you can analyze where the VOLUME/PRICE is movin\\xe2\\x80\\xa6 https://t.co/A0zcrWH3WS'",FORGET BITCOIN ALTCOINS are MOVING With you can analyze where the VOLUME PRICE is movin xe2 x80 xa6
2019-11-17T04:33:25.000Z,b'\xf0\x9f\x97\xa3\xef\xb8\x8fDOES AGOD VERSE COMPETE WITH JAY-Z?\xf0\x9f\x91\x82Listen and find out (JAY-Z REMIX) @agodgmt (B12 BOMBER) \n.\n.\n.\xe2\x80\xa6 https://t.co/vkn0MKebAO',xf0 x9f x97 xa3 xef x8 x8fDOES AGOD VERSE COMPETE WITH JAY Z xf0 x9f x91 x82Listen and find out JAY Z REMIX B12 BOMBER n n n xe2 x80 xa6
2019-11-17T04:33:34.000Z,b'\xf0\x9f\x93\xa1YOUTUBE\xf0\x9f\x93\xa1 \xf0\x9f\x9a\xa8ALERT\xf0\x9f\x9a\xa8\n@agodgmt Subscribe to Agod YouTube Channel\n.\n.\n.\n#goldenmoneyteam #Agodgmt #VueJS #100DaysOfCode\xe2\x80\xa6 https://t.co/r8vMvAAJme',xf0 x9f x93 xa1YOUTUBE xf0 x9f x93 xa1 xf0 x9f x9a xa8ALERT xf0 x9f x9a xa8 n Suscrie to Agod YouTue Channel n n n n goldenmoneyteam Agodgmt VueJS 100DaysOfCode xe2 x80 xa6
2019-11-17T04:33:38.000Z,b'Upgrading to the latest 3.0.3 firmware. @COLDCARDwallet is a seriously good #bitcoin hardware wallet. Shown here is\xe2\x80\xa6 https://t.co/Var675ZkBp',Upgrading to the latest 3 0 3 firmware is a seriously good itcoin hardware wallet Shown here is xe2 x80 xa6
2019-11-17T04:33:38.000Z,b'#Bitcoin \xf0\x9f\x91\x8c\xf0\x9f\x98\x8e https://t.co/LxZWpAg8LB',Bitcoin xf0 x9f x91 x8c xf0 x9f x98 x8e
2019-11-17T04:33:43.000Z,b'\xf0\x9f\x8e\x8aMARKETING\xf0\x9f\x8e\x8a \xf0\x9f\x9a\xa8ALERT\xf0\x9f\x9a\xa8\nArtist promote your music with Golden Money Team DM us today @agodgmt\n.\n.\n#goldenmoneyteam\xe2\x80\xa6 https://t.co/y9a5IYffzh',xf0 x9f x8e x8aMARKETING xf0 x9f x8e x8a xf0 x9f x9a xa8ALERT xf0 x9f x9a xa8 nArtist promote your music with Golden Money Team DM us today n n n goldenmoneyteam xe2 x80 xa6
2019-11-17T04:33:52.000Z,b'Golden\xf0\x9f\x8f\x85 Money\xf0\x9f\x92\xb2Team \xf0\x9f\xa4\x9d Presents\n\xf0\x9f\x8e\xb6GOOD MUSIC\xf0\x9f\x8e\xb6\xf0\x9f\x9a\xa8ALERT\xf0\x9f\x9a\xa8\n@TrillWillIsrael - Come Get It\n.\n.\n#goldenmoneyteam #agodgmt\xe2\x80\xa6 https://t.co/OCElxc0FKq',Golden xf0 x9f x8f x85 Money xf0 x9f x92 x2Team xf0 x9f xa4 x9d Presents n xf0 x9f x8e x6GOOD MUSIC xf0 x9f x8e x6 xf0 x9f x9a xa8ALERT xf0 x9f x9a xa8 n Come Get It n n n goldenmoneyteam agodgmt xe2 x80 xa6
2019-11-17T04:34:25.000Z,b'Something is in the way.\n\n#Bitcoin $BTC #trader #cryptocurrency #BTCUSD #CryptoNews #trading #cryptotrading\xe2\x80\xa6 https://t.co/8NEIvbC1o2',Something is in the way n n Bitcoin BTC trader cryptocurrency BTCUSD CryptoNews trading cryptotrading xe2 x80 xa6
2019-11-17T04:34:31.000Z,b'@extstock @dcs_token #cryptocurrency #bitcoin',cryptocurrency itcoin
2019-11-17T04:34:52.000Z,"b\"\"\\xf0x9fx97xa3xefxb8x8fTHIS IS A WORK OF #art xf0x9fx91xa8xe2x80x8dxf0x9fx8exa8 nPicasso ain't got nothing on thisxf0x9fx8exa8 @agodgmt (GUNS BANG)xf0x9fx94xabxf0x9fx92xa5n.n#bitcoin xf0x9fx8exa8 #AI #Crypto xf0x9fx8exa8xe2x80xa6 https://t.co/p6yEEHgI2t\"\"",xf0x9fx97xa3xefx8x8fTHIS IS A WORK OF art xf0x9fx91xa8xe2x80x8dxf0x9fx8exa8 nPicasso ain t got nothing on thisxf0x9fx8exa8 GUNS BANG xf0x9fx94xaxf0x9fx92xa5n n itcoin xf0x9fx8exa8 AI Crypto xf0x9fx8exa8xe2x80xa6
2019-11-17T04:34:54.000Z,"b'#BTC #Bitcoin May Soon Face Major Bull Movement, if History Rhymes\\n\\nhttps://t.co/XX8k4ZkgpM'",BTC Bitcoin May Soon Face Major Bull Movement if History Rhymes n
2019-11-17T04:35:18.000Z,b'GOLDEN\xf0\x9f\x8f\x85 MONEY \xf0\x9f\x92\xb2 TEAM \xf0\x9f\xa4\x9d PRESENTS\n\xe2\x9a\xa1SPOTIFY\xe2\x9a\xa1 \xf0\x9f\x9a\xa8ALERT\xf0\x9f\x9a\xa8\n@TrillWillIsrael Official #Spotify music source\n.\n.\xe2\x80\xa6 https://t.co/lM4P6PxH59',GOLDEN xf0 x9f x8f x85 MONEY xf0 x9f x92 x2 TEAM xf0 x9f xa4 x9d PRESENTS n xe2 x9a xa1SPOTIFY xe2 x9a xa1 xf0 x9f x9a xa8ALERT xf0 x9f x9a xa8 n Official Spotify music source n n xe2 x80 xa6
2019-11-17T04:35:22.000Z,b'The Hardware Bitcoin Wallet. Get Trezor now for only 89 EUR https://t.co/RyPUbEzrNS #btc #bitcoin 23 https://t.co/tKNadXtsbv',The Hardware Bitcoin Wallet Get Trezor now for only 89 EUR tc itcoin 23
2019-11-17T04:35:32.000Z,b'Crypto News From the Spanish-Speaking World: Nov. 10\xe2\x80\x9316 in Review https://t.co/rmLUAfXzdo #Bitcoin\xe2\x80\xa6 https://t.co/B5NO4W1m9q',Crypto News From the Spanish Speaking World Nov 10 xe2 x80 x9316 in Review Bitcoin xe2 x80 xa6
2019-11-17T04:35:32.000Z,b'@extstock @dcs_token #cryptocurrency #bitcoin \xd0\x9a\xd1\x80\xd1\x83\xd1\x82\xd0\xb0\xd1\x8f \xd1\x80\xd0\xb0\xd0\xb7\xd0\xb4\xd0\xb0\xd1\x87\xd0\xb0! \xd0\xbf\xd1\x80\xd0\xb8\xd1\x81\xd0\xbe\xd0\xb5\xd0\xb4\xd0\xb8\xd0\xbd\xd1\x8f\xd0\xb9\xd1\x82\xd0\xb5\xd1\x81\xd1\x8c!',cryptocurrency itcoin xd0 x9a xd1 x80 xd1 x83 xd1 x82 xd0 x0 xd1 x8f xd1 x80 xd0 x0 xd0 x7 xd0 x4 xd0 x0 xd1 x87 xd0 x0 xd0 xf xd1 x80 xd0 x8 xd1 x81 xd0 xe xd0 x5 xd0 x4 xd0 x8 xd0 xd xd1 x8f xd0 x9 xd1 x82 xd0 x5 xd1 x81 xd1 x8c
